"sp","value_Fmax","p_change","qual_change"
"acanthina monodon",0.001,0.0143567418616763,"Less than 5% change"
"acanthina monodon",0.002,0.0253423278232079,"Less than 5% change"
"acanthina monodon",0.003,0.0344958171764276,"Less than 5% change"
"acanthina monodon",0.004,0.0424395646849929,"Less than 5% change"
"acanthina monodon",0.005,0.0495034867125987,"Less than 5% change"
"acanthina monodon",0.006,0.0558888834167659,"Less than 5% change"
"acanthina monodon",0.007,0.0617298735311467,"Less than 5% change"
"acanthina monodon",0.008,0.0671214028507894,"Less than 5% change"
"acanthina monodon",0.009,0.0721337426491164,"Less than 5% change"
"acanthina monodon",0.01,0.0768207038864821,"Less than 5% change"
"acanthocyclus gayi",0.001,0.0107521917933617,"Less than 5% change"
"acanthocyclus gayi",0.002,0.0189480650285567,"Less than 5% change"
"acanthocyclus gayi",0.003,0.0257529051492345,"Less than 5% change"
"acanthocyclus gayi",0.004,0.0316386547218661,"Less than 5% change"
"acanthocyclus gayi",0.005,0.036855834532501,"Less than 5% change"
"acanthocyclus gayi",0.006,0.0415574753066084,"Less than 5% change"
"acanthocyclus gayi",0.007,0.0458456319966105,"Less than 5% change"
"acanthocyclus gayi",0.008,0.0497926076435062,"Less than 5% change"
"acanthocyclus gayi",0.009,0.0534519485371421,"Less than 5% change"
"acanthocyclus gayi",0.01,0.0568646783757343,"Less than 5% change"
"acanthocyclus hassleri",0.001,0.0107319569439213,"Less than 5% change"
"acanthocyclus hassleri",0.002,0.018912476883326,"Less than 5% change"
"acanthocyclus hassleri",0.003,0.0257046538252759,"Less than 5% change"
"acanthocyclus hassleri",0.004,0.0315795314652201,"Less than 5% change"
"acanthocyclus hassleri",0.005,0.0367871488779592,"Less than 5% change"
"acanthocyclus hassleri",0.006,0.0414802402696424,"Less than 5% change"
"acanthocyclus hassleri",0.007,0.0457606615834161,"Less than 5% change"
"acanthocyclus hassleri",0.008,0.0497005741089573,"Less than 5% change"
"acanthocyclus hassleri",0.009,0.0533534186789808,"Less than 5% change"
"acanthocyclus hassleri",0.01,0.0567601378840266,"Less than 5% change"
"acanthopleura echinata",0.001,-0.00163170637184074,"Less than 5% change"
"acanthopleura echinata",0.002,-0.00302575386533777,"Less than 5% change"
"acanthopleura echinata",0.003,-0.00431838694806563,"Less than 5% change"
"acanthopleura echinata",0.004,-0.00555430728446105,"Less than 5% change"
"acanthopleura echinata",0.005,-0.00675310647236804,"Less than 5% change"
"acanthopleura echinata",0.006,-0.00792475564517225,"Less than 5% change"
"acanthopleura echinata",0.007,-0.00907482699548101,"Less than 5% change"
"acanthopleura echinata",0.008,-0.0102066438537274,"Less than 5% change"
"acanthopleura echinata",0.009,-0.0113222886525932,"Less than 5% change"
"acanthopleura echinata",0.01,-0.0124231203057046,"Less than 5% change"
"chaetopleura peruviana",0.001,0.0210641914640819,"Less than 5% change"
