"sp","value_Pja","p_change","qual_change"
"acanthina monodon",0,4.72484208387425,"Less than 5% change"
"acanthocyclus gayi",0,4.08583139289018,"Less than 5% change"
"acanthocyclus hassleri",0,4.07405821294662,"Less than 5% change"
"acanthopleura echinata",0,7.24039175990123,"Increase"
"chaetopleura peruviana",0,6.04093934501986,"Increase"
"chiton  cummingsi",0,5.68976929242275,"Increase"
"chiton  granosus",0,7.93108047410684,"Increase"
"chiton  latus",0,5.99941364481575,"Increase"
"lottia  orbignyi",0,5.79215244876057,"Increase"
"concholepas concholepas",0,3.76859138258303,"Less than 5% change"
"enoplochiton  niger",0,10.3028364573717,"Increase"
"fissurella  costata",0,11.3812230246164,"Increase"
"fissurella  crassa",0,10.8545062656298,"Increase"
"fissurella  cummingi",0,10.5547203833674,"Increase"
"fissurella  limbata",0,19.277094527712,"Increase"
"fissurella  maxima",0,10.4250957332203,"Increase"
"fissurella  picta",0,10.5201255588671,"Increase"
"fissurella  puhlcra",0,10.520125558894,"Increase"
"heliaster helianthus",0,3.66147177842624,"Less than 5% change"
"scurria  araucana",0,5.77052806754519,"Increase"
"scurria  ceciliana",0,5.71488875819051,"Increase"
"scurria  plana",0,5.75472599776983,"Increase"
"scurria scurra",0,NA,NA
"scurria variabilis",0,5.55800143502949,"Increase"
"scurria viridula",0,5.40797582519819,"Increase"
"scurria zebrina",0,5.41547782676171,"Increase"
"siphonaria lesoni",0,6.07750500938404,"Increase"
"stichaster striatus",0,4.79168543972994,"Less than 5% change"
"tegula atra",0,-88.1939990772097,"Decrease"
"Tonicia lineolata",0,16.3312807451393,"Increase"
"tonicia  chilensis",0,16.3312807451393,"Increase"
"tonicia  elegans",0,16.3312807451053,"Increase"
"anthotoe spp.",0,5.23089706541913,"Increase"
"austromegabalanus psittacus",0,5.28288455329196,"Increase"
"balanus laevis",0,4.82735338045919,"Less than 5% change"
"brachidontes granulata",0,3.4422625425248,"Less than 5% change"
"bunodactis spp.",0,5.23089794731528,"Increase"
"Oulactis concinnata",0,5.23089752169792,"Increase"
"jhelius cirratus",0,13.2339042406111,"Increase"
"lessonia nigrescens a",0,-100,"Decrease"
"nothobalanus flosculus",0,10.5359464937083,"Increase"
"nothochthamalus scabrosus",0,13.296832088066,"Increase"
"parantheopsis ",0,5.23089706541913,"Increase"
"perumytilus purpuratus",0,11.0154357355045,"Increase"
"phragmatopoma spp.",0,2.90448578518503,"Less than 5% change"
"phymactis spp.",0,5.23089791011528,"Increase"
"pyura chilensis",0,2.81951843573545,"Less than 5% change"
"semimytilus algosus",0,6.92287342839304,"Increase"
"gulls",0,3.78833989730105,"Less than 5% change"
"cinclodes nigrofumosus",0,0.066374121566426,"Less than 5% change"
"Echinolittorina peruviana",0,NA,NA
"austrolittorina araucana",0,NA,NA
"onchidella sp. ",0,540.495038318184,"Increase"
"Allelopetrolisthes punctatus",0,-0.0537272000805,"Less than 5% change"
"petrolisthes spinifrons",0,-0.0537271998746647,"Less than 5% change"
"petrolisthes angulosus",0,-0.0537272010027845,"Less than 5% change"
"petrolisthes tuberculatus",0,-0.0537272012355761,"Less than 5% change"
"petrolisthes tuberculosus",0,-0.0537272012785639,"Less than 5% change"
"trimusculus peruvianus",0,529.741516751898,"Increase"
"lessonia nigrescens j",0,-99.9724610214782,"Decrease"
"algae",0,7.88195072194329,"Increase"
"acanthina monodon",0.001,-4.59729018080064,"Less than 5% change"
"acanthocyclus gayi",0.001,2.28522230601369,"Less than 5% change"
"acanthocyclus hassleri",0.001,-3.48158013458556,"Less than 5% change"
"acanthopleura echinata",0.001,-6.61715091549795,"Decrease"
"chaetopleura peruviana",0.001,-2.69164667990277,"Less than 5% change"
"chiton  cummingsi",0.001,1.69954295587262,"Less than 5% change"
"chiton  granosus",0.001,-13.26602619214,"Decrease"
"chiton  latus",0.001,3.39907951430027,"Less than 5% change"
"lottia  orbignyi",0.001,-0.0529222892580061,"Less than 5% change"
"concholepas concholepas",0.001,-2.8731475888455,"Less than 5% change"
"enoplochiton  niger",0.001,-11.5506894842296,"Decrease"
"fissurella  costata",0.001,-12.9906662736798,"Decrease"
"fissurella  crassa",0.001,-12.2587863969672,"Decrease"
"fissurella  cummingi",0.001,-12.0783318386873,"Decrease"
"fissurella  limbata",0.001,-10.9397204772854,"Decrease"
"fissurella  maxima",0.001,-11.8284688243752,"Decrease"
"fissurella  picta",0.001,-12.0170296107333,"Decrease"
"fissurella  puhlcra",0.001,-12.0170296107333,"Decrease"
"heliaster helianthus",0.001,2.27226269897149,"Less than 5% change"
"scurria  araucana",0.001,-0.0265918351869399,"Less than 5% change"
"scurria  ceciliana",0.001,-0.691490706603159,"Less than 5% change"
"scurria  plana",0.001,-0.377801569494884,"Less than 5% change"
"scurria scurra",0.001,-100,"Decrease"
"scurria variabilis",0.001,-2.35845382251071,"Less than 5% change"
"scurria viridula",0.001,-4.17394112072635,"Less than 5% change"
"scurria zebrina",0.001,-4.82155166828112,"Less than 5% change"
"siphonaria lesoni",0.001,3.78496007488105,"Less than 5% change"
"stichaster striatus",0.001,6.5240071050809,"Increase"
"tegula atra",0.001,82.6715165305583,"Increase"
"Tonicia lineolata",0.001,-2.36178992589091,"Less than 5% change"
"tonicia  chilensis",0.001,-2.36178992589078,"Less than 5% change"
"tonicia  elegans",0.001,-2.36178992589077,"Less than 5% change"
"anthotoe spp.",0.001,2.66506605874275,"Less than 5% change"
"austromegabalanus psittacus",0.001,-1.35584002035,"Less than 5% change"
"balanus laevis",0.001,5.27466197655992,"Increase"
"brachidontes granulata",0.001,-0.166566984248973,"Less than 5% change"
"bunodactis spp.",0.001,2.66506605874171,"Less than 5% change"
"Oulactis concinnata",0.001,2.66506605874204,"Less than 5% change"
"jhelius cirratus",0.001,-36.3438335225387,"Decrease"
"lessonia nigrescens a",0.001,-82.4617257746934,"Decrease"
"nothobalanus flosculus",0.001,-34.1187455316675,"Decrease"
"nothochthamalus scabrosus",0.001,-35.5364340286143,"Decrease"
"parantheopsis ",0.001,2.66506605874277,"Less than 5% change"
"perumytilus purpuratus",0.001,-18.2526293850371,"Decrease"
"phragmatopoma spp.",0.001,0.772684884138997,"Less than 5% change"
"phymactis spp.",0.001,2.66506605874164,"Less than 5% change"
"pyura chilensis",0.001,0.854686339605504,"Less than 5% change"
"semimytilus algosus",0.001,-9.31548354189585,"Decrease"
"gulls",0.001,-38.6282982236123,"Decrease"
"cinclodes nigrofumosus",0.001,-49.0485683128282,"Decrease"
"Echinolittorina peruviana",0.001,-100,"Decrease"
"austrolittorina araucana",0.001,-100,"Decrease"
"onchidella sp. ",0.001,-66.3517274804666,"Decrease"
"Allelopetrolisthes punctatus",0.001,-50.6547710219084,"Decrease"
"petrolisthes spinifrons",0.001,-50.6547710219087,"Decrease"
