"sp","0.0445","value_ralgae","p_change","qual_change"
"acanthina monodon",0.0336147349659477,0.001,0.0241675111174677,"Less than 5% change"
"acanthocyclus gayi",0.0187216570261439,0.001,0.0049697560285944,"Less than 5% change"
"acanthocyclus hassleri",0.0187569167316548,0.001,0.00501843346827346,"Less than 5% change"
"acanthopleura echinata",-0.0770770712181013,0.001,-0.067266077271011,"Less than 5% change"
"chaetopleura peruviana",0.0658763418329711,0.001,0.0776406306575161,"Less than 5% change"
"chiton  cummingsi",0.386618330155231,0.001,1.38903186855845,"Less than 5% change"
"chiton  granosus",0.222591098697311,0.001,0.187307050172669,"Less than 5% change"
"chiton  latus",0.364515458685832,0.001,1.41757538715845,"Less than 5% change"
"lottia  orbignyi",0.37680507819553,0.001,1.39729088232925,"Less than 5% change"
"concholepas concholepas",0.012174612539817,0.001,-0.00379412374206245,"Less than 5% change"
"enoplochiton  niger",-0.169675052058005,0.001,-0.113614350921132,"Less than 5% change"
"fissurella  costata",-0.400002558534629,0.001,-0.393334856101069,"Less than 5% change"
"fissurella  crassa",-0.281227091034353,0.001,-0.255279227541538,"Less than 5% change"
"fissurella  cummingi",-0.254267979570211,0.001,-0.218449085384886,"Less than 5% change"
"fissurella  limbata",0.475123777764108,0.001,0.673927994156331,"Less than 5% change"
"fissurella  maxima",-0.222326567967401,0.001,-0.177165215767328,"Less than 5% change"
"fissurella  picta",-0.246458794276494,0.001,-0.207416012757589,"Less than 5% change"
"fissurella  puhlcra",-0.246458794276516,0.001,-0.207416012757589,"Less than 5% change"
"heliaster helianthus",0.0117549691753371,0.001,-0.00359853961355849,"Less than 5% change"
"scurria  araucana",0.377295494817398,0.001,1.39708434777008,"Less than 5% change"
"scurria  ceciliana",0.381419778594294,0.001,1.39257551432415,"Less than 5% change"
"scurria  plana",0.377352213552129,0.001,1.39337209495913,"Less than 5% change"
"scurria scurra",-32.7826999381218,0.001,-33.5988154863577,"Decrease"
"scurria variabilis",0.398448435084608,0.001,1.38710184434268,"Less than 5% change"
"scurria viridula",0.420208770737185,0.001,1.39046318796747,"Less than 5% change"
"scurria zebrina",0.42470044406544,0.001,1.39321798248395,"Less than 5% change"
"siphonaria lesoni",0.361705169592486,0.001,1.42754818663984,"Less than 5% change"
"stichaster striatus",0.0340622050904571,0.001,0.0242901623323188,"Less than 5% change"
"tegula atra",4.97266222161905,0.001,0,"Less than 5% change"
"Tonicia lineolata",-0.516539868736798,0.001,-1.35780463955246,"Less than 5% change"
"tonicia  chilensis",-0.516539868736798,0.001,-1.35780463955246,"Less than 5% change"
"tonicia  elegans",-0.516539868736776,0.001,-1.35780463955245,"Less than 5% change"
"anthotoe spp.",0.0372284601659389,0.001,0.0277999105980475,"Less than 5% change"
