"sp","value_rmodificator","p_change","qual_change"
"acanthina monodon",0,0.236927107,"Less than 5% change"
"acanthocyclus gayi",0,10.32740435,"Increase"
"acanthocyclus hassleri",0,1.011373519,"Less than 5% change"
"acanthopleura echinata",0,8.523438122,"Increase"
"chaetopleura peruviana",0,2.768248647,"Less than 5% change"
"chiton  cummingsi",0,-6.291727087,"Decrease"
"chiton  granosus",0,-7.210207693,"Decrease"
"chiton  latus",0,-5.348316448,"Decrease"
"lottia  orbignyi",0,-8.135233645,"Decrease"
"concholepas concholepas",0,1.469079321,"Less than 5% change"
"enoplochiton  niger",0,0.433800198,"Less than 5% change"
"fissurella  costata",0,4.647492064,"Less than 5% change"
"fissurella  crassa",0,1.594110849,"Less than 5% change"
"fissurella  cummingi",0,5.000313845,"Increase"
"fissurella  limbata",0,9.952302534,"Increase"
"fissurella  maxima",0,3.820394579,"Less than 5% change"
"fissurella  picta",0,5.196272221,"Increase"
"fissurella  puhlcra",0,5.196272221,"Increase"
"heliaster helianthus",0,6.726539165,"Increase"
"scurria  araucana",0,-8.148352571,"Decrease"
"scurria  ceciliana",0,-8.628672958,"Decrease"
"scurria  plana",0,-8.382317411,"Decrease"
"scurria scurra",0,-100,"Decrease"
"scurria variabilis",0,-9.842769951,"Decrease"
"scurria viridula",0,-11.09456956,"Decrease"
"scurria zebrina",0,-11.5898048,"Decrease"
"siphonaria lesoni",0,-5.136388668,"Decrease"
"stichaster striatus",0,12.01411214,"Increase"
"tegula atra",0,176.8215556,"Increase"
"Tonicia lineolata",0,26.84362567,"Increase"
"tonicia  chilensis",0,26.84362567,"Increase"
"tonicia  elegans",0,26.84362567,"Increase"
"anthotoe spp.",0,8.416370715,"Increase"
"austromegabalanus psittacus",0,4.622761531,"Less than 5% change"
"balanus laevis",0,-3.111373107,"Less than 5% change"
"brachidontes granulata",0,4.291090707,"Less than 5% change"
"bunodactis spp.",0,8.416370715,"Increase"
"Oulactis concinnata",0,8.416370715,"Increase"
"jhelius cirratus",0,-27.9523998,"Decrease"
"lessonia nigrescens a",0,-100,"Decrease"
"nothobalanus flosculus",0,-30.69450848,"Decrease"
"nothochthamalus scabrosus",0,-26.86100964,"Decrease"
"parantheopsis ",0,8.416370715,"Increase"
"perumytilus purpuratus",0,-12.31280906,"Decrease"
"phragmatopoma spp.",0,4.529192168,"Less than 5% change"
"phymactis spp.",0,8.416370715,"Increase"
"pyura chilensis",0,4.568190193,"Less than 5% change"
"semimytilus algosus",0,-4.385473557,"Less than 5% change"
"gulls",0,-36.6513474,"Decrease"
"cinclodes nigrofumosus",0,-49.07391338,"Decrease"
"Echinolittorina peruviana",0,-100,"Decrease"
"austrolittorina araucana",0,-100,"Decrease"
"onchidella sp. ",0,-100,"Decrease"
"Allelopetrolisthes punctatus",0,-50.67548293,"Decrease"
"petrolisthes spinifrons",0,-50.67548293,"Decrease"
"petrolisthes angulosus",0,-50.67548293,"Decrease"
"petrolisthes tuberculatus",0,-50.67548293,"Decrease"
"petrolisthes tuberculosus",0,-50.67548293,"Decrease"
"trimusculus peruvianus",0,-100,"Decrease"
"lessonia nigrescens j",0,-100,"Decrease"
"algae",0,-18.21428682,"Decrease"
"acanthina monodon",1e-04,0.236926559,"Less than 5% change"
"acanthocyclus gayi",1e-04,10.32740797,"Increase"
"acanthocyclus hassleri",1e-04,1.011373081,"Less than 5% change"
"acanthopleura echinata",1e-04,8.52343733,"Increase"
"chaetopleura peruviana",1e-04,2.768248422,"Less than 5% change"
"chiton  cummingsi",1e-04,-6.291727056,"Decrease"
"chiton  granosus",1e-04,-7.210209472,"Decrease"
"chiton  latus",1e-04,-5.348316207,"Decrease"
"lottia  orbignyi",1e-04,-8.135233861,"Decrease"
"concholepas concholepas",1e-04,1.469078948,"Less than 5% change"
"enoplochiton  niger",1e-04,0.43379868,"Less than 5% change"
"fissurella  costata",1e-04,4.647490434,"Less than 5% change"
"fissurella  crassa",1e-04,1.594109306,"Less than 5% change"
"fissurella  cummingi",1e-04,5.000312215,"Increase"
"fissurella  limbata",1e-04,9.952300865,"Increase"
"fissurella  maxima",1e-04,3.820392988,"Less than 5% change"
"fissurella  picta",1e-04,5.196270592,"Increase"
"fissurella  puhlcra",1e-04,5.196270592,"Increase"
"heliaster helianthus",1e-04,6.72653946,"Increase"
"scurria  araucana",1e-04,-8.148352784,"Decrease"
"scurria  ceciliana",1e-04,-8.628673256,"Decrease"
"scurria  plana",1e-04,-8.382317668,"Decrease"
"scurria scurra",1e-04,-100,"Decrease"
"scurria variabilis",1e-04,-9.842770463,"Decrease"
"scurria viridula",1e-04,-11.09457031,"Decrease"
"scurria zebrina",1e-04,-11.58980565,"Decrease"
"siphonaria lesoni",1e-04,-5.136388391,"Decrease"
"stichaster striatus",1e-04,12.01411392,"Increase"
"tegula atra",1e-04,176.8215534,"Increase"
"Tonicia lineolata",1e-04,26.84362594,"Increase"
"tonicia  chilensis",1e-04,26.84362594,"Increase"
"tonicia  elegans",1e-04,26.84362594,"Increase"
"anthotoe spp.",1e-04,8.416370585,"Increase"
"austromegabalanus psittacus",1e-04,4.622761515,"Less than 5% change"
"balanus laevis",1e-04,-3.111372581,"Less than 5% change"
"brachidontes granulata",1e-04,4.29109074,"Less than 5% change"
"bunodactis spp.",1e-04,8.416370585,"Increase"
"Oulactis concinnata",1e-04,8.416370585,"Increase"
"jhelius cirratus",1e-04,-27.95240431,"Decrease"
"lessonia nigrescens a",1e-04,-100,"Decrease"
"nothobalanus flosculus",1e-04,-30.69451247,"Decrease"
"nothochthamalus scabrosus",1e-04,-26.861014,"Decrease"
"parantheopsis ",1e-04,8.416370585,"Increase"
"perumytilus purpuratus",1e-04,-12.31281138,"Decrease"
"phragmatopoma spp.",1e-04,4.529192176,"Less than 5% change"
"phymactis spp.",1e-04,8.416370585,"Increase"
"pyura chilensis",1e-04,4.56819028,"Less than 5% change"
"semimytilus algosus",1e-04,-4.385474838,"Less than 5% change"
"gulls",1e-04,-36.65135083,"Decrease"
"cinclodes nigrofumosus",1e-04,-49.07391795,"Decrease"
"Echinolittorina peruviana",1e-04,-100,"Decrease"
"austrolittorina araucana",1e-04,-100,"Decrease"
"onchidella sp. ",1e-04,-100,"Decrease"
"Allelopetrolisthes punctatus",1e-04,-50.67548757,"Decrease"
"petrolisthes spinifrons",1e-04,-50.67548757,"Decrease"
"petrolisthes angulosus",1e-04,-50.67548757,"Decrease"
"petrolisthes tuberculatus",1e-04,-50.67548757,"Decrease"
"petrolisthes tuberculosus",1e-04,-50.67548757,"Decrease"
"trimusculus peruvianus",1e-04,-100,"Decrease"
"lessonia nigrescens j",1e-04,-100,"Decrease"
"algae",1e-04,-18.21428655,"Decrease"
"acanthina monodon",2e-04,0.236928278,"Less than 5% change"
"acanthocyclus gayi",2e-04,10.32740709,"Increase"
"acanthocyclus hassleri",2e-04,1.011374389,"Less than 5% change"
"acanthopleura echinata",2e-04,8.523439866,"Increase"
"chaetopleura peruviana",2e-04,2.768249504,"Less than 5% change"
"chiton  cummingsi",2e-04,-6.291726999,"Decrease"
"chiton  granosus",2e-04,-7.210204482,"Decrease"
"chiton  latus",2e-04,-5.348316754,"Decrease"
"lottia  orbignyi",2e-04,-8.135233195,"Decrease"
"concholepas concholepas",2e-04,1.469080035,"Less than 5% change"
"enoplochiton  niger",2e-04,0.433802897,"Less than 5% change"
"fissurella  costata",2e-04,4.647495071,"Less than 5% change"
"fissurella  crassa",2e-04,1.594113687,"Less than 5% change"
"fissurella  cummingi",2e-04,5.000316713,"Increase"
"fissurella  limbata",2e-04,9.95230561,"Increase"
"fissurella  maxima",2e-04,3.820397383,"Less than 5% change"
"fissurella  picta",2e-04,5.196275088,"Increase"
"fissurella  puhlcra",2e-04,5.196275088,"Increase"
"heliaster helianthus",2e-04,6.726538689,"Increase"
"scurria  araucana",2e-04,-8.148352126,"Decrease"
"scurria  ceciliana",2e-04,-8.628672368,"Decrease"
"scurria  plana",2e-04,-8.382316891,"Decrease"
"scurria scurra",2e-04,-100,"Decrease"
"scurria variabilis",2e-04,-9.842768991,"Decrease"
"scurria viridula",2e-04,-11.09456819,"Decrease"
"scurria zebrina",2e-04,-11.58980331,"Decrease"
"siphonaria lesoni",2e-04,-5.13638907,"Decrease"
"stichaster striatus",2e-04,12.01411152,"Increase"
"tegula atra",2e-04,176.821558,"Increase"
"Tonicia lineolata",2e-04,26.8436253,"Increase"
"tonicia  chilensis",2e-04,26.8436253,"Increase"
"tonicia  elegans",2e-04,26.8436253,"Increase"
"anthotoe spp.",2e-04,8.416369731,"Increase"
"austromegabalanus psittacus",2e-04,4.622762022,"Less than 5% change"
"balanus laevis",2e-04,-3.111373933,"Less than 5% change"
"brachidontes granulata",2e-04,4.291090811,"Less than 5% change"
"bunodactis spp.",2e-04,8.416369731,"Increase"
"Oulactis concinnata",2e-04,8.416369731,"Increase"
"jhelius cirratus",2e-04,-27.95239252,"Decrease"
"lessonia nigrescens a",2e-04,-100,"Decrease"
"nothobalanus flosculus",2e-04,-30.69450184,"Decrease"
"nothochthamalus scabrosus",2e-04,-26.86100237,"Decrease"
"parantheopsis ",2e-04,8.416369731,"Increase"
"perumytilus purpuratus",2e-04,-12.31280483,"Decrease"
"phragmatopoma spp.",2e-04,4.529191923,"Less than 5% change"
"phymactis spp.",2e-04,8.416369731,"Increase"
"pyura chilensis",2e-04,4.568189994,"Less than 5% change"
"semimytilus algosus",2e-04,-4.385471257,"Less than 5% change"
"gulls",2e-04,-36.6513415,"Decrease"
"cinclodes nigrofumosus",2e-04,-49.07390572,"Decrease"
"Echinolittorina peruviana",2e-04,-100,"Decrease"
"austrolittorina araucana",2e-04,-100,"Decrease"
"onchidella sp. ",2e-04,-100,"Decrease"
"Allelopetrolisthes punctatus",2e-04,-50.67547514,"Decrease"
"petrolisthes spinifrons",2e-04,-50.67547514,"Decrease"
"petrolisthes angulosus",2e-04,-50.67547514,"Decrease"
"petrolisthes tuberculatus",2e-04,-50.67547514,"Decrease"
"petrolisthes tuberculosus",2e-04,-50.67547514,"Decrease"
"trimusculus peruvianus",2e-04,-100,"Decrease"
"lessonia nigrescens j",2e-04,-100,"Decrease"
"algae",2e-04,-18.2142874,"Decrease"
"acanthina monodon",3e-04,0.23692793,"Less than 5% change"
"acanthocyclus gayi",3e-04,10.32723161,"Increase"
"acanthocyclus hassleri",3e-04,1.011375414,"Less than 5% change"
"acanthopleura echinata",3e-04,8.523439681,"Increase"
"chaetopleura peruviana",3e-04,2.768250522,"Less than 5% change"
"chiton  cummingsi",3e-04,-6.291728561,"Decrease"
"chiton  granosus",3e-04,-7.210207314,"Decrease"
"chiton  latus",3e-04,-5.348318403,"Decrease"
"lottia  orbignyi",3e-04,-8.135235292,"Decrease"
"concholepas concholepas",3e-04,1.469080556,"Less than 5% change"
"enoplochiton  niger",3e-04,0.433799744,"Less than 5% change"
"fissurella  costata",3e-04,4.647492377,"Less than 5% change"
"fissurella  crassa",3e-04,1.594110991,"Less than 5% change"
"fissurella  cummingi",3e-04,5.000314109,"Increase"
"fissurella  limbata",3e-04,9.952302655,"Increase"
"fissurella  maxima",3e-04,3.820394766,"Less than 5% change"
"fissurella  picta",3e-04,5.196272469,"Increase"
"fissurella  puhlcra",3e-04,5.196272469,"Increase"
"heliaster helianthus",3e-04,6.726539284,"Increase"
"scurria  araucana",3e-04,-8.14835422,"Decrease"
"scurria  ceciliana",3e-04,-8.628674519,"Decrease"
"scurria  plana",3e-04,-8.382319015,"Decrease"
"scurria scurra",3e-04,-100,"Decrease"
"scurria variabilis",3e-04,-9.842771297,"Decrease"
"scurria viridula",3e-04,-11.09457069,"Decrease"
"scurria zebrina",3e-04,-11.58980584,"Decrease"
"siphonaria lesoni",3e-04,-5.136390705,"Decrease"
"stichaster striatus",3e-04,12.01411147,"Increase"
"tegula atra",3e-04,176.8215482,"Increase"
"Tonicia lineolata",3e-04,26.84362304,"Increase"
"tonicia  chilensis",3e-04,26.84362304,"Increase"
"tonicia  elegans",3e-04,26.84362304,"Increase"
"anthotoe spp.",3e-04,8.416370877,"Increase"
"austromegabalanus psittacus",3e-04,4.622763358,"Less than 5% change"
"balanus laevis",3e-04,-3.11137501,"Less than 5% change"
"brachidontes granulata",3e-04,4.291090814,"Less than 5% change"
"bunodactis spp.",3e-04,8.416370877,"Increase"
"Oulactis concinnata",3e-04,8.416370877,"Increase"
"jhelius cirratus",3e-04,-27.95239959,"Decrease"
