OrderTograph,CodeMatrix,label,type,trophic,AnimalType,igr,mbr,ax,bx,c,catchable,BodyMass,catchablenew,binit,Harvest,TL,scenarios,steady_state_biomass,biomass,change_proportion,abs_proportion,change,change_v2
1,1,acanthina monodon,consumer,Predator,invertebrate,0,1.571791787,0.4,0.1,0,1,8,1,38.24,8.27E-05,Predator,No_fishing,460.0249155,460.0249155,0,0,Less than 5% change,Less than 10% change
26,2,acanthocyclus gayi,consumer,Predator,invertebrate,0,1.688297176,0.4,0.1,0,NA,6.01,0,7.783442623,0,Predator,No_fishing,201.2555643,201.2555643,0,0,Less than 5% change,Less than 10% change
27,3,acanthocyclus hassleri,consumer,Predator,invertebrate,0,1.646122309,0.4,0.1,0,NA,6.65,0,4.360655738,0,Predator,No_fishing,224.0265717,224.0265717,0,0,Less than 5% change,Less than 10% change
3,4,acanthopleura echinata,consumer,Herbivore,invertebrate,0,1.759036973,0.4,0.1,0,1,5.1,1,12.79180328,0.000308465,Omnivore,No_fishing,156.0916389,156.0916389,0,0,Less than 5% change,Less than 10% change
30,5,chaetopleura peruviana,consumer,Herbivore,invertebrate,0,4.058348943,0.4,0.1,0,NA,0.18,0,0.002952,0,Omnivore,No_fishing,269.2130252,269.2130252,0,0,Less than 5% change,Less than 10% change
31,6,chiton  cummingsi,consumer,Herbivore,invertebrate,0,1.560693254,0.4,0.1,0,NA,8.23,0,1.619016393,0,Omnivore,No_fishing,21.19454134,21.19454134,0,0,Less than 5% change,Less than 10% change
4,7,chiton  granosus,consumer,Herbivore,invertebrate,0,2.146523033,0.4,0.1,0,1,2.3,1,47.73442623,8.27E-05,Omnivore,No_fishing,89.36068318,89.36068318,0,0,Less than 5% change,Less than 10% change
32,8,chiton  latus,consumer,Herbivore,invertebrate,0,5.34108758,0.4,0.1,0,NA,0.06,0,0.011803279,0,Omnivore,No_fishing,30.32639177,30.32639177,0,0,Less than 5% change,Less than 10% change
33,9,lottia  orbignyi,consumer,Herbivore,invertebrate,0,7.029266565,0.4,0.1,0,NA,0.02,0,0.318454333,0,Omnivore,No_fishing,24.74392498,24.74392498,0,0,Less than 5% change,Less than 10% change
2,10,concholepas concholepas,consumer,Predator,invertebrate,0,2.146523033,0.4,0.1,0,1,2.3,1,9.086885246,0.300799238,Predator,No_fishing,496.0308529,496.0308529,0,0,Less than 5% change,Less than 10% change
